model,model_key,binary_val_f1,binary_test_id_f1,binary_test_ood_f1,binary_roc_auc_id,binary_roc_auc_ood,binary_delta_f1,tactic_val_macro_f1,tactic_test_id_macro_f1,tactic_test_ood_macro_f1,tactic_delta_f1,status
RoBERTa-Tagalog,roberta-tagalog,0.9280575539568345,0.9290780141843972,0.8916876574307305,0.9802146210596915,0.9828275793453388,0.03739035675366664,0.9149011138355096,0.9085461883825343,0.5871759832188721,0.3213702051636622,✅ Success
mBERT,mbert,0.9236111111111112,0.9052631578947369,0.9106699751861043,0.9741304972693302,0.9881404835339767,-0.005406817291367383,0.829592512680748,0.8283332413273541,0.5007073428015396,0.3276258985258145,✅ Success
XLM-RoBERTa,xlm-roberta,0.924187725631769,0.8896797153024911,0.8696774193548387,0.951806074542493,0.9866480947169436,0.02000229594765246,0.8152608620050955,0.7581800509432088,0.47607830367474246,0.2821017472684664,✅ Success
