Model,In-Domain Macro-F1,OOD Macro-F1,ΔF1
RoBERTa-Tagalog,0.9085461883825343,0.5871759832188721,0.3213702051636622
mBERT,0.8283332413273541,0.5007073428015396,0.3276258985258145
XLM-RoBERTa,0.7581800509432088,0.47607830367474246,0.2821017472684664
