Model,In-Domain F1,In-Domain ROC-AUC,OOD F1,OOD ROC-AUC,ΔF1
RoBERTa-Tagalog,0.9290780141843972,0.9802146210596915,0.8916876574307305,0.9828275793453388,0.03739035675366664
mBERT,0.9052631578947369,0.9741304972693302,0.9106699751861043,0.9881404835339767,-0.005406817291367383
XLM-RoBERTa,0.8896797153024911,0.951806074542493,0.8696774193548387,0.9866480947169436,0.02000229594765246
